postid,url
13, 'https://cdn.chotot.com/CLH2PiG1GWQODEJnAuNQ34CKd7dp_vCMwEFNGxmwz6M/preset:view/plain/85844d9b1422bdfa3606210b6944c4ad-2712935416701167815.jpg'
13, 'https://cdn.chotot.com/eps0REwlPnlosONIwjuKPz4liihjykNbtxn9w5fWZvo/preset:view/plain/989bf4cc68797f5014e93ad4f93c37cb-2712935416875513774.jpg'
13, 'https://cdn.chotot.com/BsBfrBRA8-TcUrcRKvaAkRlZG0RuN429skROCm_Szfc/preset:view/plain/a8bf616e921ba6a95fbdec5712c2a077-2712935417573648583.jpg'
13, 'https://cdn.chotot.com/vGDGGoR5qL57ny2789MYBoDycLiV2mH-g_yIR02ctAk/preset:view/plain/3416c0e2a36389e616b51c26ef4b6c89-2712935417801545346.jpg'
13, 'https://cdn.chotot.com/EPyaC_yljyTdBOfVRWvQW0W-fnW93AXFUcH0JZbcJ5s/preset:view/plain/156e2708187e4ffbbd5724b9150bac80-2712935418446129351.jpg'
14,'https://cdn.chotot.com/dSkgQIk4bKbPy7YA-9qGpThI2gP8xj8AKg77qk9bFWY/preset:view/plain/dfa0a0bc0ab78de9f2d4cb7c66306f5e-2712500834427642572.jpg'
14, 'https://cdn.chotot.com/nwum2fQwPppigqvXCA-M2BiRe_gkj_Gw8fvKZZwH2LY/preset:view/plain/8fc59ca52fb8eb55915317415042afb6-2712500861978360698.jpg'
14, 'https://cdn.chotot.com/PsqKxoYbk0Ao48S3yQQm6G_983yIRyIjfps8ZBaDJMU/preset:view/plain/87f1278c48bc29f981f60b871bda9460-2712500861968762587.jpg'
14, 'https://cdn.chotot.com/qT738Vri1pOSqyXkn7hvUpsFp8bFmqKUY3nMmLLunGE/preset:view/plain/885f0da0b60fba7e594b714f416608d0-2712500861993210417.jpg'
14, 'https://cdn.chotot.com/LuhoG2_qdfLR84Bq30JuFc69uM0UfmkW5ULevzEiyzo/preset:view/plain/d6991b237f1bb0d821bb025677ae2ba3-2712500861976514456.jpg'
15,'https://cdn.chotot.com/EgMTOhGpXw7vMSfEol4Wf6WFgU_KTFFsCpVz804iWp0/preset:view/plain/5538223ea5aa3ac585cdd75e485e0c02-2712935546852742786.jpg'
15, 'https://cdn.chotot.com/By8rWfnqxW-DTKUlR6xBCJ-aToXwphlATEK_ACFRQ9M/preset:view/plain/cb0f6de8498d2d4c9a43eb76b8431fd5-2712935546770646489.jpg'
15, 'https://cdn.chotot.com/_PUbk2YlaA7tNo1YDYxC8WQObZf8bXgT_-cTU6oYV0A/preset:view/plain/4c48b5439e610483a25c5d8b4f828f21-2712935546844929059.jpg'
16,'https://cdn.chotot.com/L96Qeb9LRF-MQkCgcAMfUhFeUMCoG5SR3_DGanq5LOw/preset:view/plain/62b07916c6d8d4394417fa5fd8a92aaa-2712840238879773920.jpg'
16, 'https://cdn.chotot.com/e-uJ22_jrDiqJDp-i367oyxj43P-cRvg_fN2QRk5JyM/preset:view/plain/0f5dca44a85e9dd939432f91ea9290a3-2712840238694174719.jpg'
16, 'https://cdn.chotot.com/sIZs1Fw1m6CkDjj6rkzNz_ubv3dmN5UDywdJse8ead4/preset:view/plain/7e7a9da166c4fdf56b992162a3742aa6-2712840239633764351.jpg'
16, 'https://cdn.chotot.com/84bdfjL7ZeOx5uFBMzFHlFVtzdVLNfz3C3BuxAEpfDo/preset:view/plain/78689533ba78bf1538570433f3df9da3-2712840239668368608.jpg'
16, 'https://cdn.chotot.com/mC0AnljRxQb3S5uuana4LcGWxQggw2cvVIzL6d742L4/preset:view/plain/08720de8d8af11bee3d56b58de472e94-2712840240557626592.jpg'
17,'https://cdn.chotot.com/B80n2IXiSRtWwOoUej2K2VVA4_TziOeP_jXwHgtsE6o/preset:view/plain/431f990335c3d06ecd39a26ad7b02137-2704786629417803750.jpg'
17, 'https://cdn.chotot.com/SFDyXsHjM_UJ-tGsqx3DpZr5eLEldlTT0Y4TFSo-UbM/preset:view/plain/c2e0ff248a472732454acb74af7498e8-2704786682041056570.jpg'
17, 'https://cdn.chotot.com/cStC18TwHmkmCk7KZA9xC0BXuhEbXrWCi1mZm8AVsbs/preset:view/plain/d2a00d6e01b8fca1d6c95ea6c1cc9fd5-2704786701653818682.jpg'
17, 'https://cdn.chotot.com/A4nSxjDAUlISiz-FIk3RLJRk4XTCgqnMCm7MG3d-wf0/preset:view/plain/2b3d82b696fbf89d9b14a3279ef64c28-2704786708849643539.jpg'
